GameWinner;GameNumber;RoundCount
RandomAI;1;48
AI;2;49
AI;3;45
RandomAI;4;45
AI;5;45
RandomAI;6;49
RandomAI;7;45
AI;8;48
RandomAI;9;45
AI;10;44
AI;11;49
AI;12;47
AI;13;46
AI;14;39
RandomAI;15;48
RandomAI;16;44
RandomAI;17;44
AI;18;40
AI;19;47
AI;20;49
RandomAI;21;43
AI;22;47
AI;23;45
RandomAI;24;48
AI;25;45
RandomAI;26;42
AI;27;48
AI;28;46
RandomAI;29;46
RandomAI;30;44
RandomAI;31;38
RandomAI;32;47
AI;33;37
RandomAI;34;39
RandomAI;35;47
RandomAI;36;48
RandomAI;37;39
RandomAI;38;48
AI;39;49
RandomAI;40;46
RandomAI;41;45
RandomAI;42;46
AI;43;43
RandomAI;44;44
AI;45;48
AI;46;45
AI;47;47
AI;48;46
AI;49;43
AI;50;45
AI;51;44
RandomAI;52;47
AI;53;43
AI;54;47
RandomAI;55;42
AI;56;44
RandomAI;57;44
RandomAI;58;48
RandomAI;59;48
AI;60;45
RandomAI;61;46
RandomAI;62;47
AI;63;45
RandomAI;64;31
AI;65;43
AI;66;48
AI;67;47
AI;68;47
RandomAI;69;38
AI;70;48
AI;71;46
RandomAI;72;49
RandomAI;73;47
RandomAI;74;49
RandomAI;75;47
RandomAI;76;47
AI;77;48
RandomAI;78;46
AI;79;47
RandomAI;80;45
AI;81;49
AI;82;49
AI;83;48
RandomAI;84;48
RandomAI;85;46
RandomAI;86;48
RandomAI;87;47
AI;88;45
RandomAI;89;43
RandomAI;90;47
RandomAI;91;46
RandomAI;92;44
RandomAI;93;36
RandomAI;94;46
RandomAI;95;48
RandomAI;96;47
RandomAI;97;49
RandomAI;98;46
AI;99;48
AI;100;49
RandomAI;101;43
AI;102;48
RandomAI;103;43
RandomAI;104;43
AI;105;44
RandomAI;106;32
RandomAI;107;43
RandomAI;108;44
RandomAI;109;49
AI;110;47
RandomAI;111;42
AI;112;48
RandomAI;113;42
RandomAI;114;47
RandomAI;115;45
RandomAI;116;46
RandomAI;117;49
RandomAI;118;45
RandomAI;119;48
RandomAI;120;48
AI;121;47
AI;122;44
RandomAI;123;47
RandomAI;124;49
;;
AI wint;;Random AI wint
52;;72
